datetime,dia,mes,ano,hora,nivel_cm
2022-07-17 08:00:00,17,7,2022,8,317.0
2022-07-17 09:00:00,17,7,2022,9,318.0
2022-07-17 10:00:00,17,7,2022,10,319.0
2022-07-17 11:00:00,17,7,2022,11,320.0
2022-07-17 12:00:00,17,7,2022,12,321.0
2022-07-17 13:00:00,17,7,2022,13,321.0
2022-07-17 14:00:00,17,7,2022,14,322.0
2022-07-17 15:00:00,17,7,2022,15,322.0
2022-07-17 16:00:00,17,7,2022,16,323.0
2022-07-17 17:00:00,17,7,2022,17,323.0
2022-07-17 18:00:00,17,7,2022,18,323.0
2022-07-17 19:00:00,17,7,2022,19,323.0
2022-07-17 20:00:00,17,7,2022,20,323.0
2022-07-17 21:00:00,17,7,2022,21,323.0
2022-07-17 22:00:00,17,7,2022,22,323.0
2022-07-17 23:00:00,17,7,2022,23,323.0
2022-07-18 00:00:00,18,7,2022,0,323.0
2022-07-18 01:00:00,18,7,2022,1,323.0
2022-07-18 02:00:00,18,7,2022,2,324.0
2022-07-18 03:00:00,18,7,2022,3,324.0
2022-07-18 04:00:00,18,7,2022,4,324.0
2022-07-18 05:00:00,18,7,2022,5,324.0
2022-07-18 06:00:00,18,7,2022,6,324.0
2022-07-18 07:00:00,18,7,2022,7,325.0
2022-07-18 08:00:00,18,7,2022,8,324.0
2022-07-18 09:00:00,18,7,2022,9,325.0
2022-07-18 10:00:00,18,7,2022,10,325.0
2022-07-18 11:00:00,18,7,2022,11,325.0
2022-07-18 12:00:00,18,7,2022,12,325.0
2022-07-18 13:00:00,18,7,2022,13,325.0
2022-07-18 14:00:00,18,7,2022,14,325.0
2022-07-18 15:00:00,18,7,2022,15,325.0
2022-07-18 16:00:00,18,7,2022,16,325.0
2022-07-18 17:00:00,18,7,2022,17,325.0
2022-07-18 18:00:00,18,7,2022,18,324.0
2022-07-18 19:00:00,18,7,2022,19,324.0
2022-07-18 20:00:00,18,7,2022,20,324.0
2022-07-18 21:00:00,18,7,2022,21,324.0
2022-07-18 22:00:00,18,7,2022,22,323.0
2022-07-18 23:00:00,18,7,2022,23,323.0
2022-07-19 00:00:00,19,7,2022,0,323.0
2022-07-19 01:00:00,19,7,2022,1,323.0
2022-07-19 02:00:00,19,7,2022,2,322.0
2022-07-19 03:00:00,19,7,2022,3,322.0
2022-07-19 04:00:00,19,7,2022,4,321.0
2022-07-19 05:00:00,19,7,2022,5,321.0
2022-07-19 06:00:00,19,7,2022,6,320.0
2022-07-19 07:00:00,19,7,2022,7,320.0
2022-07-19 08:00:00,19,7,2022,8,319.0
2022-07-19 09:00:00,19,7,2022,9,318.0
2022-07-19 10:00:00,19,7,2022,10,318.0
2022-07-19 11:00:00,19,7,2022,11,317.0
2022-07-19 12:00:00,19,7,2022,12,317.0
2022-07-19 13:00:00,19,7,2022,13,316.0
2022-07-19 14:00:00,19,7,2022,14,315.0
2022-07-19 15:00:00,19,7,2022,15,314.0
2022-07-19 16:00:00,19,7,2022,16,313.0
2022-07-19 17:00:00,19,7,2022,17,312.0
2022-07-19 18:00:00,19,7,2022,18,311.0
2022-07-19 19:00:00,19,7,2022,19,309.0
2022-07-19 20:00:00,19,7,2022,20,308.0
2022-07-19 21:00:00,19,7,2022,21,307.0
2022-07-19 22:00:00,19,7,2022,22,305.0
2022-07-19 23:00:00,19,7,2022,23,304.0
2022-07-20 00:00:00,20,7,2022,0,302.0
2022-07-20 01:00:00,20,7,2022,1,301.0
2022-07-20 02:00:00,20,7,2022,2,299.0
2022-07-20 03:00:00,20,7,2022,3,298.0
2022-07-20 04:00:00,20,7,2022,4,297.0
2022-07-20 05:00:00,20,7,2022,5,295.0
2022-07-20 06:00:00,20,7,2022,6,293.0
2022-07-20 07:00:00,20,7,2022,7,292.0
2022-07-20 08:00:00,20,7,2022,8,290.0
2022-07-20 09:00:00,20,7,2022,9,288.0
2022-07-20 10:00:00,20,7,2022,10,287.0
2022-07-20 11:00:00,20,7,2022,11,285.0
2022-07-20 12:00:00,20,7,2022,12,284.0
2022-07-20 13:00:00,20,7,2022,13,282.0
2022-07-20 14:00:00,20,7,2022,14,280.0
2022-07-20 15:00:00,20,7,2022,15,279.0
2022-07-20 16:00:00,20,7,2022,16,277.0
2022-07-20 17:00:00,20,7,2022,17,275.0
2022-07-20 18:00:00,20,7,2022,18,273.0
2022-07-20 19:00:00,20,7,2022,19,272.0
2022-07-20 20:00:00,20,7,2022,20,270.0
2022-07-20 21:00:00,20,7,2022,21,268.0
2022-07-20 22:00:00,20,7,2022,22,267.0
2022-07-20 23:00:00,20,7,2022,23,265.0
2022-07-21 00:00:00,21,7,2022,0,263.0
2022-07-21 01:00:00,21,7,2022,1,262.0
2022-07-21 02:00:00,21,7,2022,2,260.0
2022-07-21 03:00:00,21,7,2022,3,259.0
2022-07-21 04:00:00,21,7,2022,4,257.0
2022-07-21 05:00:00,21,7,2022,5,256.0
2022-07-21 06:00:00,21,7,2022,6,254.0
2022-07-21 07:00:00,21,7,2022,7,253.0
2022-07-21 08:00:00,21,7,2022,8,251.0
2022-07-21 09:00:00,21,7,2022,9,250.0
2022-07-21 10:00:00,21,7,2022,10,249.0
2022-07-21 11:00:00,21,7,2022,11,248.0
2022-07-21 12:00:00,21,7,2022,12,246.0
2022-07-21 13:00:00,21,7,2022,13,245.0
2022-07-21 14:00:00,21,7,2022,14,244.0
2022-07-21 15:00:00,21,7,2022,15,243.0
2022-07-21 16:00:00,21,7,2022,16,242.0
2022-07-21 17:00:00,21,7,2022,17,241.0
2022-07-21 18:00:00,21,7,2022,18,239.0
2022-07-21 19:00:00,21,7,2022,19,238.0
2022-07-21 20:00:00,21,7,2022,20,237.0
2022-07-21 21:00:00,21,7,2022,21,236.0
2022-07-21 22:00:00,21,7,2022,22,235.0
2022-07-21 23:00:00,21,7,2022,23,234.0
2022-07-22 00:00:00,22,7,2022,0,233.0
2022-07-22 01:00:00,22,7,2022,1,232.0
2022-07-22 02:00:00,22,7,2022,2,231.0
2022-07-22 03:00:00,22,7,2022,3,230.0
2022-07-22 04:00:00,22,7,2022,4,229.0
2022-07-22 05:00:00,22,7,2022,5,228.0
2022-07-22 06:00:00,22,7,2022,6,227.0
2022-07-22 07:00:00,22,7,2022,7,226.0
2022-07-22 08:00:00,22,7,2022,8,225.0
2022-07-22 09:00:00,22,7,2022,9,224.0
2022-07-22 10:00:00,22,7,2022,10,224.0
2022-07-22 11:00:00,22,7,2022,11,224.0
2022-07-22 12:00:00,22,7,2022,12,223.0
2022-07-22 13:00:00,22,7,2022,13,222.0
2022-07-22 14:00:00,22,7,2022,14,222.0
2022-07-22 15:00:00,22,7,2022,15,221.0
2022-07-22 16:00:00,22,7,2022,16,220.0
2022-07-22 17:00:00,22,7,2022,17,219.0
2022-07-22 18:00:00,22,7,2022,18,219.0
2022-07-22 19:00:00,22,7,2022,19,218.0
2022-07-22 20:00:00,22,7,2022,20,217.0
2022-07-22 21:00:00,22,7,2022,21,216.0
2022-07-22 22:00:00,22,7,2022,22,215.0
2022-07-22 23:00:00,22,7,2022,23,214.0
2022-07-23 00:00:00,23,7,2022,0,214.0
2022-07-23 01:00:00,23,7,2022,1,213.0
2022-07-23 02:00:00,23,7,2022,2,212.0
2022-07-23 03:00:00,23,7,2022,3,212.0
2022-07-23 04:00:00,23,7,2022,4,211.0
